Loading pre-computed embeddings from cache: /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
Emb cache: loaded iv=(92115, 1152) ex=(92115, 1152) from /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
Embeddings from cache: iv=(92115, 1152) ex=(92115, 1152) (frozen dim=1152, multiscale=True)
[full_iv_ex/frozen] epoch 1/200 loss=2.9296 iv_val=0.9967 ex_val=0.9985 bal_val=0.9976 ex2iv=0.0832 align=0.7513 cpair=0.0000
[full_iv_ex/frozen] epoch 2/200 loss=2.4506 iv_val=0.9971 ex_val=0.9986 bal_val=0.9979 ex2iv=0.0887 align=0.6814 cpair=0.0000
[full_iv_ex/frozen] epoch 3/200 loss=2.3336 iv_val=0.9968 ex_val=0.9985 bal_val=0.9976 ex2iv=0.0906 align=0.6067 cpair=0.0000
[full_iv_ex/frozen] epoch 4/200 loss=2.2739 iv_val=0.9960 ex_val=0.9982 bal_val=0.9971 ex2iv=0.0859 align=0.5682 cpair=0.0000
[full_iv_ex/frozen] epoch 5/200 loss=2.2406 iv_val=0.9956 ex_val=0.9979 bal_val=0.9967 ex2iv=0.0828 align=0.5477 cpair=0.0000
[full_iv_ex/frozen] epoch 6/200 loss=2.2212 iv_val=0.9953 ex_val=0.9976 bal_val=0.9964 ex2iv=0.0847 align=0.5356 cpair=0.0000
[full_iv_ex/frozen] epoch 7/200 loss=2.2059 iv_val=0.9945 ex_val=0.9951 bal_val=0.9948 ex2iv=0.0843 align=0.5258 cpair=0.0000
[full_iv_ex/frozen] epoch 8/200 loss=2.1977 iv_val=0.9935 ex_val=0.9961 bal_val=0.9948 ex2iv=0.0830 align=0.5206 cpair=0.0000
[full_iv_ex/frozen] epoch 9/200 loss=2.1894 iv_val=0.9929 ex_val=0.9939 bal_val=0.9934 ex2iv=0.0839 align=0.5145 cpair=0.0000
[full_iv_ex/frozen] epoch 10/200 loss=2.1800 iv_val=0.9928 ex_val=0.9936 bal_val=0.9932 ex2iv=0.0872 align=0.5102 cpair=0.0000
[full_iv_ex/frozen] epoch 11/200 loss=2.1769 iv_val=0.9921 ex_val=0.9938 bal_val=0.9929 ex2iv=0.0882 align=0.5079 cpair=0.0000
[full_iv_ex/frozen] epoch 12/200 loss=2.1721 iv_val=0.9925 ex_val=0.9941 bal_val=0.9933 ex2iv=0.0879 align=0.5054 cpair=0.0000
[full_iv_ex/frozen] epoch 13/200 loss=2.1705 iv_val=0.9926 ex_val=0.9934 bal_val=0.9930 ex2iv=0.0877 align=0.5033 cpair=0.0000
